Feature group;Epic;Feature;Requirements Status;User Story Status ;US #;Design Status;Development Status;General User Story Statement
Platform Management System;Platform Management ;Unified Platform Dashboard;Done;In Progress;;In Progress;tbd;As a Super Admin, I want to view consolidated metrics from all management systems on one dashboard, so that I can assess overall platform health and make informed decisions.
Platform Management System;Platform Management ;Global Search and Navigation;Done;In Progress;;In Progress;tbd;As a Super Admin, I want to search across all entities (For example: users, companies, projects, equipment , etc) from the main navigate bar
Platform Management System;Platform Management ;User Type / License Switching;Done;In Progress;;In Progress;tbd;As a User, I want to switch between different user type perspectives (Company Owner, Manager, IT Admin, Investor), so that I can view different access levels across all management modules.
User Management System;User Management ;User Search Management;Done;In Progress;;In Progress;tbd;As a User, I want to search for users by name or ID and access their full profile details, so that I can quickly find and manage any user in the platform.
User Management System;User Management ;User Profile / Lifecycle Management ;Done;In Progress;;In Progress;tbd;As a Super Admin, I want to manage user profiles throughout their lifecycle (creation, activation, verification, deactivation), so that I can maintain accurate user data and control platform access.
User Management System;User Management ;User Company / Department Assignment;Done;In Progress;;In Progress;tbd;As a User, I want to manage user profiles throughout their lifecycle (creation, activation, verification, deactivation), so that I can maintain accurate user data and control platform access.
User Management System;User Management ;User Role Assignment;Done;In Progress;;In Progress;tbd;As an IT Admin, I want to assign and modify user roles within companies, so that team members have appropriate access levels for their responsibilities.
Role Management System;Role Management;Configure Role Permission Matrix;Done;In Progress;;In Progress;tbd;As a Super Admin, I want to configure the role-based permission matrix, so that I can control feature access across the platform and maintain security.
Role Management System;Role Management;Role Manager ;Done;In Progress;;In Progress;tbd;As a Company Owner, I want to create, edit, and manage custom roles within my organization, so that I can align platform permissions with my business structure.
Company Dashboard Analytics;Company Dashboard Analytics;Home-View Specified Anlytic Dashboard;Done;In Progress;;In Progress;tbd;As a user with different roles (Super Admin, Investor, Company Owner), I want to see analytics tailored to my role and responsibilities, so that I can make informed decisions
Company Dashboard Analytics;Company Dashboard Analytics;Analytic Dashboard Generator;Done;In Progress;;In Progress;tbd;"As a User (Company Owner, Manager) I want to create custom analytics dashboards with configurable widgets and metrics, so that I can track KPIs specific to my business needs.
"
Company Dashboard Analytics;Company Dashboard Analytics;Export Analytics and Reports;Done;In Progress;;In Progress;tbd;As a Manager, I want to export analytics data and generate custom reports, so that I can share insights with stakeholders and support business decisions.
Company Management System;Company Management;Company Profile Management;Done;In Progress;;In Progress;tbd;As a Super Admin, I want to manage all company profiles with their organizational structure, so that I can give them maintenance
Company Management System;Company Management;Company Search and Navigation ;Done;In Progress;;In Progress;tbd;As a Super Admin, I want to search and filter companies by various criteria (industry, size, status, location), so that I can quickly find and manage specific organizations.
Company Management System;Company Management;Company Team / Department Structure Management;Done;In Progress;;In Progress;tbd;As a Company Owner, I want to manage my team structure and department organization, so that I can organize my workforce and control access appropriately.
